Player,Season,Pos,Pos2,Age,Conf,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ALL_STAR
Tyson Chandler,2017-18,C,F,35,West,PHO,46,46,25.0,2.6,4.1,0.647,0.0,0.0,,2.6,4.1,0.647,0.647,1.3,2.0,0.624,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5,0
Wilson Chandler,2017-18,SF,F,30,West,DEN,74,71,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4.0,5.4,2.1,0.6,0.5,1.2,2.1,10.0,0
Marquese Chriss,2017-18,PF,F,20,West,PHO,72,49,21.2,2.8,6.6,0.423,0.8,2.6,0.295,2.0,4.0,0.509,0.48200000000000004,1.3,2.2,0.608,1.1,4.4,5.5,1.2,0.7,1.0,1.5,2.8,7.7,0
Ian Clark,2017-18,SG,G,26,West,NOP,74,2,19.7,3.0,6.7,0.44799999999999995,0.8,2.6,0.318,2.2,4.1,0.5329999999999999,0.511,0.6,0.8,0.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,0
Jordan Clarkson,2017-18,SG,G,25,West,TOT,81,2,23.3,5.3,11.8,0.451,1.4,3.9,0.35200000000000004,3.9,7.9,0.5,0.509,1.9,2.3,0.8,0.7,2.0,2.7,2.7,0.7,0.1,1.6,1.3,13.9,0
Jordan Clarkson,2017-18,SG,G,25,West,LAL,53,2,23.7,5.6,12.6,0.44799999999999995,1.3,4.0,0.324,4.4,8.6,0.505,0.499,2.0,2.5,0.795,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5,0
Jordan Clarkson,2017-18,SG,G,25,East,CLE,28,0,22.6,4.7,10.3,0.456,1.6,3.9,0.40700000000000003,3.1,6.4,0.486,0.5329999999999999,1.7,2.1,0.81,0.5,1.6,2.1,1.7,0.7,0.1,1.1,1.6,12.6,0
Gian Clavell,2017-18,SG,G,24,West,DAL,7,0,9.1,0.9,2.6,0.33299999999999996,0.9,2.1,0.4,0.0,0.4,0.0,0.5,0.3,0.3,1.0,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9,0
Antonius Cleveland,2017-18,SG,G,23,West,TOT,17,0,7.2,0.5,1.2,0.381,0.2,0.2,0.75,0.3,1.0,0.294,0.452,0.2,0.4,0.667,0.2,0.6,0.8,0.1,0.4,0.3,0.4,1.4,1.4,0
Antonius Cleveland,2017-18,SG,G,23,West,DAL,13,0,6.2,0.3,1.1,0.28600000000000003,0.0,0.1,0.0,0.3,1.0,0.308,0.28600000000000003,0.2,0.3,0.5,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8,0
Antonius Cleveland,2017-18,SG,G,23,East,ATL,4,0,10.5,1.0,1.8,0.5710000000000001,0.8,0.8,1.0,0.3,1.0,0.25,0.7859999999999999,0.5,0.5,1.0,0.3,0.8,1.0,0.0,0.3,0.3,1.3,3.0,3.3,0
